ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
105016292198891,Anders Havelund Krøyer,Konservative i København,15830,41,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
105156038283179,Kenny Schødt i Viborg Byråd,Kenny Schødt,143,1,Konservative,Politiker,Blå blok,Mand,Side,,,
105452445239833,Ole Gade i Folketinget,Ole Gade,84397,119,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
105529997937913,"Helle Laursen Petersen, Politiker",Helle Laursen Petersen,40603,35,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
105586298238578,Rasmus Dahlberg i Folketinget,Rasmus Dahlberg,61593,38,Konservative,Politiker,Blå blok,Mand,Side,,,
105663525658257,Jacob Stryhn - Det Konservative Folkeparti,Jacob Stryhn,11361,93,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
105663525658257,Jacob Stryhn - Det Konservative Folkeparti,Jacob Stryhn - Det Konservative Folkeparti,10076,14,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
105791732087827,Casper Øhlers,Det Konservative Folkeparti,17701,30,Konservative,Politiker,Blå blok,Mand,Side,,,
105791732087827,Casper Øhlers,Casper Øhlers,1239,3,Konservative,Politiker,Blå blok,Mand,Side,,,
105848352158836,Emma Juul Hansen,Emma Juul Hansen,22766,54,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
106023361621379,Mette Jensen - Det Konservative Folkeparti,Mette Jensen,9424,44,Konservative,Politiker,Blå blok,Kvinde,Side,,,
106050211691902,Allan Beier,Allan Bilgaard Beier,3259,34,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
106227167942900,Casper Nørgaard Maglekær,Casper Dick Vestergaard Maglekær,10597,37,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
106270681594462,Nicola Emily Larsen,Nicola Emily Larsen,6261,22,Konservative,Politiker,Blå blok,Mand,Side,,,
106283905428437,Mads Silberg i Folketinget,Mads Silberg,850,3,Konservative,Politiker,Blå blok,Mand,Side,,,
106294441587137,Diana-Ester Eriksen,Det Konservative Folkeparti,3610,7,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
106294441587137,Diana-Ester Eriksen,Diana-Ester Brandt Eriksen,937,6,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
